user_id,matched_user_id,action,timestamp
X01,X37,0,2025-04-16
X01,X02,0,2025-08-07
X01,X07,1,2025-03-02
X01,X50,0,2025-01-18
X01,X41,1,2025-03-25
X02,X68,0,2025-05-12
X02,X47,0,2025-03-16
X02,X21,1,2025-04-08
X02,X73,1,2025-12-02
X02,X11,1,2025-02-22
X03,X19,1,2025-12-09
X03,X33,1,2025-07-16
X03,X52,1,2025-06-03
X03,X54,0,2025-07-22
X03,X22,1,2025-06-02
X04,X73,1,2025-05-18
X04,X01,0,2025-04-30
X04,X31,0,2025-01-13
X04,X34,0,2025-06-13
X04,X14,1,2025-07-03
X05,X08,0,2025-08-19
X05,X44,0,2025-12-13
X05,X17,0,2025-01-26
X05,X40,1,2025-05-27
X05,X38,1,2025-11-06
X06,X10,1,2025-12-04
X06,X66,1,2025-04-16
X06,X53,1,2025-12-24
X06,X18,1,2025-10-15
X06,X13,0,2025-03-20
X07,X51,1,2025-06-11
X07,X60,0,2025-10-07
X07,X43,1,2025-10-19
X07,X13,1,2025-12-16
X07,X80,1,2025-12-15
X08,X26,0,2025-04-06
X08,X44,1,2025-12-27
X08,X63,1,2025-08-23
X08,X70,0,2025-08-06
X08,X16,1,2025-09-14
X09,X61,1,2025-05-17
X09,X21,0,2025-12-15
X09,X76,1,2025-09-01
X09,X71,0,2025-07-18
X09,X50,1,2025-02-24
X10,X48,1,2025-08-13
X10,X35,0,2025-03-26
X10,X38,1,2025-04-22
X10,X31,1,2025-10-16
X10,X32,1,2025-04-24
X11,X05,0,2025-09-01
X11,X05,1,2025-05-12
X11,X57,0,2025-07-15
X11,X54,1,2025-07-01
X11,X48,1,2025-08-08
X12,X03,1,2025-07-24
X12,X05,1,2025-09-10
X12,X25,0,2025-10-07
X12,X03,1,2025-09-21
X12,X32,0,2025-01-18
X13,X51,1,2025-06-14
X13,X49,0,2025-10-21
X13,X65,0,2025-10-05
X13,X25,1,2025-12-08
X13,X26,1,2025-12-15
X14,X64,1,2025-11-25
X14,X59,0,2025-06-19
X14,X09,0,2025-05-09
X14,X16,1,2025-02-19
X14,X32,0,2025-05-02
X15,X23,1,2025-07-20
X15,X43,0,2025-04-03
X15,X09,0,2025-11-29
X15,X16,0,2025-05-12
X15,X57,0,2025-08-03
X16,X05,1,2025-08-12
X16,X07,0,2025-03-22
X16,X58,0,2025-01-20
X16,X58,1,2025-09-19
X16,X07,1,2025-11-02
X17,X80,1,2025-05-24
X17,X44,1,2025-02-12
X17,X60,1,2025-03-29
X17,X35,1,2025-12-14
X17,X65,0,2025-10-16
X18,X72,1,2025-11-13
X18,X75,0,2025-11-08
X18,X64,0,2025-04-14
X18,X34,1,2025-04-27
X18,X41,0,2025-09-30
X19,X45,0,2025-01-01
X19,X80,1,2025-01-23
X19,X68,0,2025-07-08
X19,X42,1,2025-04-07
X19,X38,0,2025-01-05
X20,X46,0,2025-09-19
X20,X24,0,2025-08-28
X20,X32,1,2025-02-01
X20,X15,1,2025-02-22
X20,X44,0,2025-08-25
X21,X62,1,2025-10-29
X21,X05,0,2025-07-09
X21,X24,0,2025-07-27
X21,X08,1,2025-05-06
X21,X72,0,2025-07-20
X22,X32,1,2025-04-13
X22,X79,1,2025-08-27
X22,X19,1,2025-08-29
X22,X27,0,2025-12-27
X22,X29,1,2025-10-06
X23,X30,1,2025-04-03
X23,X48,0,2025-05-07
X23,X62,1,2025-06-02
X23,X72,0,2025-01-12
X23,X60,1,2025-03-08
X24,X51,0,2025-09-11
X24,X55,1,2025-01-13
X24,X34,1,2025-06-07
X24,X22,0,2025-03-05
X24,X59,1,2025-02-14
X25,X40,0,2025-01-06
X25,X22,0,2025-01-15
X25,X56,0,2025-08-21
X25,X58,1,2025-12-18
X25,X18,0,2025-07-03
X26,X01,1,2025-04-08
X26,X07,0,2025-01-16
X26,X54,1,2025-03-21
X26,X03,1,2025-10-27
X26,X03,0,2025-10-16
X27,X44,0,2025-12-29
X27,X61,0,2025-08-16
X27,X80,1,2025-03-28
X27,X16,0,2025-11-24
X27,X13,1,2025-08-03
X28,X18,0,2025-06-04
X28,X63,0,2025-09-27
X28,X76,1,2025-05-14
X28,X24,0,2025-08-08
X28,X33,0,2025-03-22
X29,X73,0,2025-12-12
X29,X77,0,2025-09-21
X29,X65,0,2025-03-04
X29,X78,0,2025-01-17
X29,X80,1,2025-01-26
X30,X12,0,2025-12-28
X30,X02,0,2025-07-08
X30,X31,0,2025-12-12
X30,X77,0,2025-04-18
X30,X35,0,2025-12-25
X31,X73,0,2025-09-19
X31,X65,0,2025-05-07
X31,X44,0,2025-06-11
X31,X55,0,2025-05-15
X31,X22,1,2025-10-27
X32,X48,0,2025-01-04
X32,X26,1,2025-08-16
X32,X09,1,2025-12-13
X32,X70,1,2025-06-22
X32,X37,1,2025-11-01
X33,X15,1,2025-08-07
X33,X78,1,2025-03-06
X33,X51,0,2025-02-12
X33,X53,1,2025-12-25
X33,X78,0,2025-06-24
X34,X48,1,2025-12-14
X34,X26,0,2025-12-14
X34,X27,1,2025-02-12
X34,X24,0,2025-02-14
X34,X35,0,2025-12-31
X35,X17,1,2025-06-13
X35,X66,1,2025-04-18
X35,X33,0,2025-03-15
X35,X68,1,2025-12-09
X35,X15,1,2025-11-22
X36,X80,1,2025-04-27
X36,X01,0,2025-11-15
X36,X21,0,2025-12-06
X36,X44,0,2025-07-16
X36,X53,0,2025-09-10
X37,X47,1,2025-04-11
X37,X08,1,2025-12-16
X37,X08,0,2025-09-09
X37,X70,1,2025-11-25
X37,X58,1,2025-10-27
X38,X60,1,2025-08-14
X38,X44,0,2025-10-15
X38,X18,1,2025-03-11
X38,X20,1,2025-04-27
X38,X72,0,2025-04-30
X39,X73,0,2025-05-28
X39,X13,1,2025-06-25
X39,X61,1,2025-05-24
X39,X63,0,2025-01-06
X39,X06,1,2025-07-29
X40,X44,0,2025-07-19
X40,X23,1,2025-02-17
X40,X48,0,2025-10-27
X40,X34,0,2025-03-28
X40,X32,1,2025-11-30
X41,X33,0,2025-08-17
X41,X13,0,2025-06-03
X41,X52,0,2025-03-18
X41,X21,1,2025-09-22
X41,X58,1,2025-09-07
X42,X64,1,2025-06-27
X42,X79,0,2025-02-17
X42,X28,1,2025-02-19
X42,X21,0,2025-03-18
X42,X70,0,2025-06-14
X43,X23,1,2025-06-12
X43,X80,1,2025-08-27
X43,X77,0,2025-04-22
X43,X07,0,2025-11-18
X43,X62,0,2025-05-23
X44,X45,0,2025-10-03
X44,X76,1,2025-10-25
X44,X72,1,2025-01-24
X44,X20,0,2025-07-27
X44,X75,0,2025-06-29
X45,X17,0,2025-09-17
X45,X08,1,2025-10-10
X45,X54,1,2025-01-05
X45,X77,0,2025-10-21
X45,X70,0,2025-12-19
X46,X35,0,2025-08-24
X46,X54,0,2025-09-04
X46,X01,0,2025-07-28
X46,X02,0,2025-01-07
X46,X32,0,2025-11-30
X47,X51,1,2025-01-22
X47,X35,1,2025-11-30
X47,X64,1,2025-09-07
X47,X78,0,2025-05-07
X47,X45,1,2025-10-06
X48,X16,0,2025-09-08
X48,X78,0,2025-12-14
X48,X07,0,2025-06-21
X48,X32,0,2025-07-06
X48,X18,1,2025-08-02
X49,X19,0,2025-06-03
X49,X79,1,2025-11-02
X49,X19,0,2025-01-31
X49,X24,1,2025-06-29
X49,X21,1,2025-05-10
X50,X48,1,2025-02-10
X50,X54,0,2025-12-23
X50,X57,1,2025-11-13
X50,X24,0,2025-05-17
X50,X57,0,2025-01-27
X51,X14,0,2025-07-08
X51,X02,0,2025-01-30
X51,X48,1,2025-10-31
X51,X43,0,2025-05-21
X51,X79,0,2025-07-16
X52,X34,0,2025-11-01
X52,X60,1,2025-08-13
X52,X20,0,2025-03-07
X52,X62,0,2025-03-03
X52,X77,1,2025-07-08
X53,X48,1,2025-03-30
X53,X41,1,2025-08-25
X53,X09,1,2025-08-10
X53,X38,0,2025-08-18
X53,X18,1,2025-09-20
X54,X13,0,2025-12-10
X54,X57,1,2025-12-23
X54,X62,1,2025-05-31
X54,X57,0,2025-11-09
X54,X76,0,2025-01-06
X55,X79,0,2025-05-31
X55,X27,0,2025-09-26
X55,X31,1,2025-07-03
X55,X31,0,2025-06-04
X55,X38,1,2025-12-24
X56,X30,1,2025-11-10
X56,X20,1,2025-02-10
X56,X60,1,2025-11-01
X56,X20,0,2025-07-20
X56,X06,0,2025-03-25
X57,X41,0,2025-10-10
X57,X44,1,2025-09-21
X57,X37,0,2025-03-27
X57,X54,0,2025-10-24
X57,X52,1,2025-10-01
X58,X42,0,2025-11-21
X58,X15,1,2025-11-30
X58,X38,1,2025-12-19
X58,X70,0,2025-06-27
X58,X78,0,2025-12-31
X59,X74,1,2025-10-16
X59,X75,1,2025-03-13
X59,X39,1,2025-04-07
X59,X12,1,2025-06-29
X59,X26,0,2025-02-18
X60,X48,1,2025-09-15
X60,X46,0,2025-09-09
X60,X25,1,2025-02-07
X60,X06,0,2025-01-14
X60,X78,1,2025-04-26
X61,X60,1,2025-11-12
X61,X31,0,2025-09-19
X61,X14,0,2025-03-18
X61,X59,1,2025-09-13
X61,X03,0,2025-01-19
X62,X18,1,2025-03-14
X62,X23,1,2025-06-30
X62,X39,0,2025-04-22
X62,X69,1,2025-02-03
